Test Name,NCV
Test Item,Left Ulnar Anti Sensory
Patient Name,"ny  Hamidah Saleh"
Patient ID,943956
Test Date,13/05/2024
Trace Label,"5th : "
Sensitivity (µV/Div),50.00
Hicut,2000.00
Locut,10.00
ms/Sample,0.0313
Samples,640
Trace Data (µV),51.666940564
,-7.575665160
,-54.676539852
,-48.670258011
,-7.091287592
,50.020056834
,108.125989865
,156.247286633
,189.191419611
,206.706512462
,211.614871815
,207.152139824
,196.418332922
,182.242216105
,166.832551081
,151.752262804
,138.183232539
,126.674421528
,117.090204053
,109.411205012
,103.153046836
,98.102603396
,94.234041221
,91.166316625
,88.641094905
,86.425874829
,84.443155984
,82.576687757
,80.929804026
,79.289378663
,77.584369625
,75.827693645
,74.129142974
,72.430592303
,70.531832238
,68.884948507
,67.412440701
,66.107850452
,64.867843878
,63.808671597
,62.691374007
,61.612826623
,60.527820871
,59.468648589
,58.415934675
,57.298637086
,56.187797863
,55.135083949
,54.030703095
,52.900488770
,51.744440975
,50.820894412
,49.942556423
,48.818800465
,47.746711449
,46.784414681
,45.925451794
,45.085864010
,43.897524377
,42.302307587
,40.403547521
,38.252911120
,35.759981238
,33.086217064
,30.154118187
,27.047643385
,24.031585730
,21.144695426
,18.393430841
,15.732583402
,13.446321282
,11.683186935
,10.481930567
,9.687551356
,9.293590934
,9.526092167
,10.359221583
,11.760687346
,13.659447412
,16.191127499
,19.433228020
,23.282415092
,27.628896467
,32.149753766
,36.999987811
,42.237723911
,47.688586141
,53.410699808
,59.313647768
,65.487847165
,71.881631060
,78.359373733
,84.598156806
,90.139436182
,95.344880443
,100.472824294
,105.645976718
,110.638294850
,115.191443988
,119.725218022
,124.207325116
,128.321305258
,132.028408244
,135.251133662
,138.015314982
,140.230535058
,142.019502876
,143.246592714
,143.995763352
,144.299306628
,144.292848260
,144.195972747
,143.730970282
,142.884924130
,141.748251438
,140.437202821
,138.945319912
,137.020726376
,134.766756094
,132.383618460
,130.065064502
,128.114637496
,126.196502328
,124.078157765
,121.914604629
,119.751051492
,117.187079567
,114.112896603
,111.045172007
,107.815988222
,104.496387291
,101.138036154
,97.650517666
,94.059665297
,90.565688441
,87.129836894
,83.538984525
,79.489588058
,75.084981375
,70.208913859
,64.874302246
,59.113438373
,53.223407149
,47.294625719
,41.068759381
,34.494141194
,27.913064640
,21.493447275
,15.235289099
,9.099839907
,2.899807039
,-3.500435223
,-9.958802794
,-16.275086278
,-22.675328540
,-29.094945905
,-35.495188168
,-41.792096549
,-47.611085730
,-53.055489592
,-58.067182826
,-62.504081347
,-66.107850452
,-68.807448096
,-70.693291427
,-71.888089427
,-72.172257600
,-71.293919611
,-69.511410161
,-66.857021090
,-63.201585045
,-58.700102848
,-53.410699808
,-47.591710627
,-41.372302657
,-34.687892221
,-27.635354834
,-20.091981512
,-12.257981649
,-4.346481375
,3.778145029
,12.006105314
,20.414899890
,28.920569981
,37.516657217
,46.455037935
,55.535502739
,64.609509175
,73.741640920
,82.479812243
,90.811106409
,98.838857299
,106.440355930
,113.447684744
,120.093344974
,126.467753766
,132.687161736
,138.506150917
,143.885971103
,148.988081484
,153.470188578
,157.177291563
,160.322516570
,162.750862777
,164.546288961
,165.883171049
,166.774425773
,167.149011092
,167.052135579
,166.729217200
,166.244839632
,165.437543686
,163.952119145
,162.008150506
,159.670221446
,157.099791153
,154.464777184
,151.894346891
,149.104332100
,145.900981785
,142.426380032
,138.628859901
,134.463212818
,129.942355519
,125.150246781
,120.086886606
,114.771650096
,109.359538071
,103.676174609
,97.650517666
,91.372984388
,85.088992741
,78.914793344
,73.089345795
,67.412440701
,61.754910709
,56.194256231
,50.756310737
,45.389407286
,39.945003424
,34.319765270
,28.604109970
,22.998246919
,17.870303068
,13.220278417
,8.776921528
,4.191480553
,-0.400418789
,-4.895442618
,-9.435675021
,-13.917782114
,-18.496764722
,-23.172622843
,-27.699938510
,-31.878502328
,-35.798731443
,-39.131249110
,-41.992305943
,-44.259192961
,-46.183786497
,-47.972754314
,-49.819847439
,-51.492564640
,-53.184656943
,-54.825082306
,-56.200714599
,-57.369679129
,-58.338434264
,-59.113438373
,-59.617191043
,-60.198444125
,-60.760322103
,-61.160740893
,-61.322200082
,-61.567618050
,-61.632201725
,-61.561159682
,-61.380325390
,-61.173657628
,-61.167199260
,-61.406158860
,-61.741993974
,-62.000328677
,-62.168246234
,-62.232829909
,-62.374913996
,-62.536373185
,-62.807624623
,-63.272627088
,-63.660129143
,-63.647212407
,-63.440544645
,-63.130543002
,-62.839916461
,-62.730124212
,-62.529914818
,-62.290955218
,-62.258663380
,-62.407205834
,-62.478247877
,-62.536373185
,-62.568665023
,-62.626790331
,-62.730124212
,-62.962625445
,-63.143459737
,-63.608462202
,-64.138048343
,-64.803260202
,-65.597639414
,-66.572852917
,-67.477024377
,-68.323070528
,-69.253075459
,-70.260580800
,-71.345586551
,-72.320800055
,-73.250804985
,-73.954767050
,-74.471436456
,-74.807271569
,-74.884771980
,-75.039772802
,-75.427274856
,-75.943944262
,-76.634989592
,-77.636036565
,-78.792084360
,-80.141883182
,-81.588557518
,-82.899606135
,-84.100862503
,-85.321493974
,-86.593792385
,-87.962966310
,-89.390265543
,-91.050066009
,-93.052159956
,-95.248004930
,-97.204890304
,-99.006774856
,-101.015327170
,-103.146588469
,-105.161599151
,-107.053900849
,-108.933285812
,-110.677045056
,-112.491846343
,-114.054771295
,-115.488528896
,-116.896453026
,-118.343127362
,-119.809176801
,-121.404393590
,-122.767109148
,-123.774614489
,-124.717536154
,-125.744416598
,-126.810047247
,-127.979011777
,-129.193184880
,-130.194231854
,-131.266320871
,-132.564452752
,-133.875501369
,-135.109049575
,-136.142388386
,-136.872183922
,-137.253227608
,-137.240310873
,-137.098226787
,-137.040101479
,-136.885100657
,-136.652599424
,-136.316764311
,-136.206972062
,-135.968012462
,-135.348009175
,-134.560088332
,-133.475082580
,-132.002574774
,-130.510691865
,-129.018808956
,-127.539842782
,-126.209419063
,-125.040454533
,-123.871490002
,-122.495857710
,-120.765015201
,-119.053547795
,-117.361455491
,-115.624154615
,-113.925603944
,-112.304553684
,-110.689961791
,-109.023702958
,-107.137859627
,-105.168057518
,-103.140130101
,-101.118661051
,-99.129483840
,-97.114473158
,-95.157587784
,-93.316953026
,-91.670069296
,-90.126519446
,-88.499010819
,-86.516291975
,-84.695032320
,-82.944814708
,-81.136471788
,-79.399170912
,-77.539161052
,-75.530608737
,-73.580181731
,-71.545795946
,-69.640577513
,-67.929110107
,-66.256392906
,-64.654717748
,-63.343669132
,-62.355538893
,-61.341575185
,-60.172610654
,-59.048854697
,-57.711972610
,-56.381548891
,-54.986541495
,-53.501116954
,-51.886525061
,-49.974848261
,-48.263380854
,-46.874831827
,-45.466907696
,-43.975024788
,-42.360432895
,-40.661882224
,-39.040831964
,-37.516657217
,-35.818106546
,-34.197056286
,-32.634131334
,-31.122873322
,-29.424322651
,-27.577229526
,-25.639719255
,-23.928251849
,-22.416993837
,-20.970319501
,-19.665729252
,-18.225513284
,-16.798214051
,-15.532374007
,-14.344034374
,-13.078194330
,-11.967355108
,-11.250476308
,-10.992141605
,-10.869432621
,-10.488388935
,-9.978177896
,-9.306507669
,-8.602545604
,-7.704832512
,-6.903994933
,-6.057948781
,-5.237736100
,-4.417523418
,-3.526268693
,-2.518763352
,-1.756675979
,-1.466049439
,-1.272298411
,-0.755629006
,0.090417146
,1.026880444
,2.086052725
,3.183975212
,3.991271159
,4.443356889
,4.966484662
,5.599404684
,6.264616543
,6.742535744
,7.265663517
,7.911500274
,8.576712134
,9.099839907
,9.713384826
,10.165470556
